energy,delta,beta,atlen
72,6.03031769012e-07,7.35749945442e-09,0.0186248901647
73,5.86569557155e-07,7.00908656021e-09,0.0192828921282
74,5.70544960545e-07,6.68158146257e-09,0.0199547121694
75,5.54742101512e-07,6.37347190309e-09,0.0206404478527
76,5.38966767681e-07,6.08337315417e-09,0.021340196108
77,5.22320929525e-07,5.81111182108e-09,0.0220498935734
78,5.07373363549e-07,5.55497004116e-09,0.0227708966167
79,4.91659868662e-07,5.31316877263e-09,0.0235058387476
80,4.7444047891e-07,5.08400382563e-09,0.0242583132376
81,4.59773655838e-07,1.39796547217e-08,0.00871314600178
82,4.54984370181e-07,1.95830107831e-08,0.00614416881707
83,4.46793791649e-07,1.87673546531e-08,0.00633395978747
84,4.3799029231e-07,1.79940018616e-08,0.00652753799117
85,4.29302472688e-07,1.72611108619e-08,0.00672463609991
86,4.20738219969e-07,1.6566125386e-08,0.0069252755768
87,4.12304516847e-07,1.59066777882e-08,0.00712947776249
88,4.05273398521e-07,1.5279029765e-08,0.00733800504828
89,3.96410902478e-07,1.46822208848e-08,0.00755048232357
90,3.87848452803e-07,1.41150062599e-08,0.0077666345563
91,3.79571772099e-07,1.35756136187e-08,0.00798648341496
92,3.71567392336e-07,1.30623946821e-08,0.0082100504543
93,3.63822601311e-07,1.25738152659e-08,0.00843735711709
94,3.570084279e-07,1.21068457337e-08,0.00866957070899
95,3.49554707918e-07,1.16611871055e-08,0.00890615165909
96,3.42350417485e-07,1.12363453675e-08,0.00914660960102
97,3.3538368213e-07,1.08311462714e-08,0.00939096669083
98,3.28643280123e-07,1.04444929642e-08,0.00963924497962
99,3.22118601106e-07,1.00753601667e-08,0.00989146641512
100,3.16991719068e-07,9.7228414247e-09,0.0101475979637
101,3.10953290532e-07,9.3861358046e-09,0.0104075438156
102,3.05061385067e-07,9.06423733869e-09,0.0106714888495
103,2.99312493131e-07,8.75635912827e-09,0.0109394544784
104,2.93703211286e-07,8.4617631688e-09,0.0112114620197
105,2.88230238509e-07,8.17975688045e-09,0.0114875326963
106,2.82890372633e-07,7.90968991494e-09,0.0117676876375
107,2.77543800172e-07,7.65115051517e-09,0.0120516339458
108,2.72513793936e-07,7.4036845791e-09,0.0123391371563
109,2.67607607974e-07,7.16639388834e-09,0.0126307541699
110,2.62821762513e-07,6.93877238815e-09,0.0129265052982
111,2.58152906849e-07,6.72034347433e-09,0.0132264107662
112,2.53597813426e-07,6.51065803444e-09,0.0135304907135
113,2.4915337223e-07,6.30929263539e-09,0.0138387651953
114,2.44787324145e-07,6.11584071104e-09,0.0141512706911
115,2.40586916578e-07,5.92894174698e-09,0.0144704298299
116,2.36487744151e-07,5.7492991116e-09,0.0147939300989
117,2.32486849039e-07,5.5765721207e-09,0.0151217923578
118,2.28581385852e-07,5.41043880675e-09,0.0154540373862
119,2.24768616403e-07,5.25059474367e-09,0.0157906858846
120,2.21045904764e-07,5.09675195431e-09,0.0161317584753
121,2.17410712589e-07,4.94863789451e-09,0.0164772757034
122,2.13742704664e-07,4.80606278874e-09,0.0168270189679
123,2.10304221436e-07,4.66911093346e-09,0.0171797623306
124,2.06945875963e-07,4.53712357051e-09,0.0175369539876
125,2.03665275398e-07,4.4098828522e-09,0.0178986134823
126,2.00460117648e-07,4.28718212653e-09,0.0182647602859
127,1.97328187217e-07,4.16882527904e-09,0.0186354137983
128,1.94267351284e-07,4.05462611816e-09,0.019010593349
129,1.91275555977e-07,3.94440780079e-09,0.0193903181976
130,1.88350822848e-07,3.83800229536e-09,0.0197746075351
131,1.85468558136e-07,3.73557694244e-09,0.0201617151
132,1.82680883569e-07,3.63674850812e-09,0.0205527175897
133,1.79954591817e-07,3.54125120931e-09,0.0209482659313
134,1.77287925146e-07,3.44894897202e-09,0.0213483781998
135,1.74679189185e-07,3.35971223846e-09,0.0217530724062
136,1.72126750178e-07,3.27341760974e-09,0.0221623664975
137,1.69629032387e-07,3.18994751076e-09,0.0225762783581
138,1.67184515616e-07,3.10918987543e-09,0.02299482581
139,1.64791732861e-07,3.0310378512e-09,0.0234180266137
140,1.6244187299e-07,2.95567561821e-09,0.023843590286
141,1.60151950362e-07,2.88279902339e-09,0.0242729731995
142,1.57909584313e-07,2.81221544348e-09,0.0247069719424
143,1.55713481475e-07,2.74383733643e-09,0.0251456031044
144,1.5356239256e-07,2.67758108198e-09,0.0255888832178
145,1.51455110567e-07,2.61336678029e-09,0.0260368287578
146,1.49390469062e-07,2.55111806232e-09,0.0264894561436
147,1.47367340548e-07,2.49076191103e-09,0.0269467817388
148,1.4538463491e-07,2.43222849277e-09,0.0274088218517
149,1.43437018795e-07,2.37550187329e-09,0.0278749957374
150,1.4153385441e-07,2.3207792396e-09,0.0283420568859
151,1.39668020459e-07,2.26766834553e-09,0.0288137623732
152,1.3783855407e-07,2.21611151389e-09,0.0292901271652
153,1.36044523415e-07,2.16605349201e-09,0.0297711661771
154,1.34285026512e-07,2.11744133487e-09,0.0302568942732
155,1.32559190086e-07,2.07022429459e-09,0.0307473262681
156,1.30866168472e-07,2.02435371582e-09,0.0312424769267
157,1.29205142572e-07,1.97978293683e-09,0.0317423609649
158,1.27575318857e-07,1.93646719579e-09,0.0322469930499
159,1.2597592841e-07,1.89436354204e-09,0.032756387801
160,1.24404491433e-07,1.85365431266e-09,0.0332665471821
161,1.22864754168e-07,1.8140996494e-09,0.033780761848
162,1.21353262849e-07,1.77562616895e-09,0.0342996670061
163,1.19869334467e-07,1.73819791557e-09,0.0348232760915
164,1.18412306624e-07,1.7017803396e-09,0.0353516024948
165,1.16981536793e-07,1.66634023437e-09,0.0358846595626
166,1.15576401605e-07,1.63184567626e-09,0.0364224605976
167,1.14196296165e-07,1.5982659678e-09,0.0369650188594
168,1.12840633397e-07,1.56557158364e-09,0.0375123475644
169,1.11508843418e-07,1.5337341191e-09,0.0380644598867
170,1.10200372935e-07,1.50272624142e-09,0.0386213689583
171,1.08913546328e-07,1.472628965e-09,0.0391802322978
172,1.07650689404e-07,1.44331849644e-09,0.0397434744377
173,1.06409576034e-07,1.41475628473e-09,0.0403114778762
174,1.05189711827e-07,1.38691906689e-09,0.0408842549913
175,1.03990616406e-07,1.3597844311e-09,0.0414618181218
176,1.02811822936e-07,1.33333078089e-09,0.042044179567
177,1.01652877667e-07,1.30753730109e-09,0.0426313515878
178,1.00513339495e-07,1.28238392532e-09,0.0432233464066
179,9.93927795443e-08,1.25785130513e-09,0.0438201762077
180,9.82907807564e-08,1.2339207804e-09,0.0444218531376
